first_name,last_name,position,height,weight,country,draft_year,draft_number,id_team,conference,division,team
Alaa,Abdelnaby,G-C,2.08,108.0,USA,1990,25,25,West,Northwest,Portland Trail Blazers
Zaid,Abdul-Aziz,G-C,2.06,105.75,USA,1968,5,11,West,Southwest,Houston Rockets
Kareem,Abdul-Jabbar,G-C,2.18,101.25,USA,1969,1,14,West,Pacific,Los Angeles Lakers
Mahmoud,Abdul-Rauf,G-C,1.85,72.9,USA,1990,3,8,West,Northwest,Denver Nuggets
Tariq,Abdul-Wahad,G-C,1.98,105.75,France,1997,11,26,West,Pacific,Sacramento Kings
Shareef,Abdur-Rahim,F,2.06,110.25,USA,1996,3,15,West,Southwest,Memphis Grizzlies
Tom,Abernethy,G-C,2.01,99.0,USA,1976,43,10,West,Pacific,Golden State Warriors
Forest,Able,G-C,1.9,81.0,USA,1956,undrafted,23,East,Atlantic,Philadelphia 76ers
Alex,Abrines,G,1.98,85.5,Spain,2013,32,21,West,Northwest,Oklahoma City Thunder
Precious,Achiuwa,F,2.03,109.35000000000001,Nigeria,2020,undrafted,20,East,Atlantic,New York Knicks
Alex,Acker,G-C,1.96,83.25,USA,2005,undrafted,13,West,Pacific,LA Clippers
Donald,Ackerman,G-C,1.83,82.35000000000001,USA,1953,undrafted,20,East,Atlantic,New York Knicks
Mark,Acres,G-C,2.11,99.0,USA,1985,undrafted,22,East,Southeast,Orlando Magic
Charles,Acton,G-C,1.98,94.5,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
Quincy,Acy,G-C,2.01,108.0,USA,2012,37,26,West,Pacific,Sacramento Kings
Alvan,Adams,G-C,2.06,94.5,USA,1975,4,24,West,Pacific,Phoenix Suns
Jordan,Adams,G-C,1.96,94.05,USA,2014,22,15,West,Southwest,Memphis Grizzlies
Hassan,Adams,G-C,1.93,99.0,USA,2006,54,3,East,Atlantic,Brooklyn Nets
Steven,Adams,C,2.11,119.25,New Zealand,2013,12,11,West,Southwest,Houston Rockets
Jaylen,Adams,G,1.83,101.25,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
